question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
Which one of the following is a muscle splitting incision?,Lanz incision,opd,Kocher's incision,Rutherford-Morrison incision,Pfannenstiel incision,Lanz incision,"Which one of the following is a muscle splitting incision? Lanz incision. Here is an additional explanation: Ans: D. Lanz incisionLanz incision:An oblique (transverse skin crease), muscle splitting incision used for an appendectomy.A modification of McBurney's (Grid Iron) incision.Advantages:Considered cosmetically better.Exposure is better.The extension is easier.Measurements:Incision, appropriate in length to size & obesity of patient - Approximately 2 cm below umbilicus centered on the midclavicular-mid inguinal line.It can be extended medially - With retraction or suitable division of rectus abdominis muscle.",Surgery,one following muscle splitting incision
Multiple canals in mandibular premolars are seen in?,Africas,opa,Africas,Caucians,Not Recalled,Not Recalled,Multiple canals in mandibular premolars are seen in? Africas. ,Dental,Multiple canals mandibular premolars seen
Which of the following blade angle is appropriate for scaling and root planing,B,opb,A,B,C,D,"Which of the following blade angle is appropriate for scaling and root planing B. Here is an additional explanation: Blade angulation.
(A) 0 degrees: correct angulation for blade insertion.
(B) 45 to 90 degrees: correct angulation for scaling and root planing.
(C) less than 45 degrees: incorrect angulation for scaling and root planing.
(d) More than 90 degrees: incorrect angulation for scaling and root planing, but correct angulation for gingival curettage.",Dental,following blade angle appropriate scaling root planing
Which pa of brachial plexus do not give branches,Division,opb,Root,Division,Cord,Trunk,Which pa of brachial plexus do not give branches Division. Here is an additional explanation: Answer: B. DivisionDivision does not give branches,Anatomy,pa brachial plexus give branches
"If the Rb gene phosphorylation is defective, which of the following will happen?",Cell cycle will stop at GI phase,opa,Cell cycle will stop at GI phase,Cell cycle will stop at G2 phase,The cell cycle will progress and the cell will divide,There will be no effect on cell cycle as for Rb gene phosphorylation is not needed,"If the Rb gene phosphorylation is defective, which of the following will happen? Cell cycle will stop at GI phase. Here is an additional explanation: Answer- A. Cell cycle will stop at GI phaseRb is a tumor suppressor gene. It normally arrests cell division at G1-S phase. Phosphorylation of Rb gene allows the cell to divide, hence inhibition of phosphorylation (which is the constitutive scenario for Rb gene) arrests the cell in GI phase.RB (Retinoblastoma) geneLocated on chromosome on 13q14Tumor suppressive pocket protein that binds E2F transcription factors in hypophophorylated stateKey negative regulator of G1/S cell cycle transition . Tumors associated: Retinoblastoma, osteosarcoma, Glioblastoma, small cell carcinoma of lung, CA breast & CA bladderSequence: Go- G1- S- G2 - M",Pathology,Rb gene phosphorylation defective following happen
Cumulative index is:,PMA (Massler and Schlour),opc,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),Cumulative index is: PMA (Massler and Schlour). ,Dental,Cumulative index
The cells which will proliferate from top to bottom of villi are:,Paneth cells,opc,Chief cells,Goblet cells,Paneth cells,Parietal cells,"The cells which will proliferate from top to bottom of villi are: Paneth cells. Here is an additional explanation: Paneth cells or zymogen cells are found only in the deeper parts of the intestinal crypts.
 They contain prominent eosinophilic secretory granules.
 They also contain high amount of zinc.
 They are known to produce lysozyme, defensins and TNF alpha that destroy bacteria.
 They exceptionally migrate towards the base of the crypts of Lieberkuhn instead of going toward the villi",Anatomy,cells proliferate top bottom villi
What is the usual weight of rabbit used in ophthalmological experiments?,1.5-2.5 kg,opb,0.5-1 kg,1.5-2.5 kg,5-7 kg,10-12 kg,What is the usual weight of rabbit used in ophthalmological experiments? 1.5-2.5 kg. Here is an additional explanation: Ans: B. 1.5-2.5 kg(Ref: Animal Models in Eve Research/ p188).The usual weight of rabbit used in ophthalmological experiments is between 1.5-2.5 Kg. Laboratory Animals:Laboratory AnimalsAnimalWeightRat180-200 gmGuinea Pig400-600 gmMouse20-25 gmRabbit1.5-2.5 KgdegHamster80-90 gm,Ophthalmology,usual weight rabbit used ophthalmological experiments
"In plasmodium vivax malaria, relapse is caused by:September 2012",Hypnozoite,opc,Sporozoite,Schizont,Hypnozoite,Gamteocyte,"In plasmodium vivax malaria, relapse is caused by:September 2012 Hypnozoite. Here is an additional explanation: Ans: C i.e. HypnoziteMalariaIn malaria, size of RBC is increased in: VivaxInfective agent of malaria is: SporozoiteFalciparum malariaGametocytes are seen in peripheral blood smearParasitemia is highestMost virulent plasmodium speciesExo-erythrocytic stage is absentMultiple infections of RBC'sSplenic rupture is common",Medicine,plasmodium vivax malaria relapse caused September
Retraction of mandible is achieved by:,Temporalis,opb,Lateral pterygoid,Temporalis,Medial pterygoid,Masseter,Retraction of mandible is achieved by: Temporalis. ,Anatomy,Retraction mandible achieved
How is modified shock index represented as?,HR/MAP,opa,HR/MAP,MAP/HR,HR/SBP,HR/DBP,How is modified shock index represented as? HR/MAP. Here is an additional explanation: HR normal: 60-100 MAP normal: 95,Medicine,modified shock index represented
"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?",Hydrocoisone administration,opb,Spironolactone,Hydrocoisone administration,Broad spectrum antibiotics,Calcium gluconate,"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management? Hydrocoisone administration. Here is an additional explanation: Karyotype 46 XX Physical appearance - male pattern Precocious pubey at 2-4 yrs. of age. Uterus, cervix and fallopian tubes are present (bcz 44 XX) - Mullerian duct development is normal. Metabolic problems: Hyponatremia - aldosterone deficiency Hyperkalemia Hypotension Diagnosis: 1) USG Normal 2) Barr body present 3) Biochemistry - 17 hydroxyprogesterone || > 800 ngm/dl. Management: DOC - Dexamethasone - to pregnant women and fetus both having CAH. Hydrocoisone - pregnant women alone having CAH but fetus is normal. Neonate with CAH. Labioscrotal folds may be separated to folds may be fused at the midline, giving an appearance of a scrotum Labioscrotal folds with increased pigmentation suggest the possibility of increased coicotropin levels as pa of adrenogenital syndrome",Pediatrics,week neonate ambiguous genitalia presented wit BP mm Hg managed IV fluids next step management
Base pairs in DNA,3.2 billion,opc,1.5 billion,46 billions,3.2 billion,100 billion,Base pairs in DNA 3.2 billion. ,Pathology,Base pairs DNA
Which of the following is a solid solution?,Silver-palladium,opc,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,"Which of the following is a solid solution? Silver-palladium. Here is an additional explanation: The structure of noble alloys can consist of solid solutions, in which the elements are completely soluble in one another at all temperatures and compositions.
The majority of noble metal casting alloys for dental restorations are based on solid solutions. An important example is the palladium-silver (Pd-Ag) alloy system. Silver forms a series of solid solutions with palladium and gold, and is therefore common in gold- and palladium-based dental alloys.
Ref: Phillip’s 12th edition page 79. Craig’s 14th edition page 182,184",Dental,following solid solution
Tracheal secretions should be suctioned for:,10-15 seconds,opa,10-15 seconds,60 seconds,30 seconds,3 minutes,"Tracheal secretions should be suctioned for: 10-15 seconds. Here is an additional explanation: Ans. a. 10-15 seconds(Ref Current DiMMOCIC and Treatment Critical Care 3/e p255)Tracheal secretions should he suctioned limiting the time to less than 10-15 seconds. The patient should be preoxygenated with 100% oxygen for at least a minute, and the total suction time should be limited to no more than 10-15 seconds on each attempt.",Anaesthesia,Tracheal secretions suctioned
